cluster,term,count_in_cluster,cluster_size,p_value
18,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",157,157,2.03e-321
24,"GO:0055114,GO:0020037,GO:0006979,GO:0004601",83,83,6.333388035212697e-226
140,"GO:0006355,GO:0003700",89,115,9.648272944033241e-195
30,"GO:0006281,GO:0003678,GO:0000723",69,79,4.455663549620438e-167
68,"GO:0046872,GO:0030001",52,64,1.59951651405996e-129
12,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",64,65,9.661414230515178e-124
87,"GO:0006412,GO:0005840,GO:0005622,GO:0003735",72,123,7.610886097889239e-119
69,"GO:0006508,GO:0004190",47,87,2.0007355422892257e-117
14,GO:0005515,103,151,1.0458303876209601e-110
19,"GO:0048046,GO:0016762,GO:0006073,GO:0005618,GO:0005975,GO:0004553",28,28,1.296059741910627e-93
48,GO:0009055,36,65,3.948733180132419e-93
60,"GO:0042546,GO:0016020,GO:0008107",27,27,1.0854963216980755e-90
22,GO:0016788,33,42,2.3516331609716794e-88
0,"GO:0003924,GO:0007017,GO:0005874",26,26,2.545705973646326e-86
41,GO:0006950,41,131,5.761929197106606e-83
146,"GO:0006355,GO:0003677",45,201,3.5633155694447314e-80
20,"GO:0046983,GO:0008171",27,38,3.65571110262323e-80
49,"GO:0008270,GO:0005515",34,38,7.237938513913655e-79
13,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",40,40,5.992163507954384e-78
54,GO:0016020,33,35,1.1050960204077032e-76
15,"GO:0016829,GO:0010333,GO:0000287",25,36,5.109792744792339e-76
16,"GO:0009607,GO:0006952",25,36,5.109792744792339e-76
5,"GO:0055114,GO:0016491",44,97,2.145439058401576e-75
56,GO:0043531,33,58,3.614963428690139e-74
31,GO:0008168,27,27,5.3130920406399316e-73
37,"GO:0005975,GO:0004553",28,28,1.9815244368597693e-71
10,"GO:0016020,GO:0009765",23,23,2.2309256577760397e-70
242,None,241,242,1.8328379937980526e-69
42,GO:0007034,21,22,4.719048050772028e-69
45,GO:0045735,26,26,1.6621758725360042e-68
101,"GO:0055114,GO:0050660,GO:0016491,GO:0019139,GO:0009690",21,26,5.577510723202071e-68
82,"GO:0006468,GO:0005524,GO:0004672",48,84,4.5719360882754635e-66
167,"GO:0006468,GO:0004672",42,59,7.201206422933921e-62
96,"GO:0016887,GO:0005524,GO:0016020",23,47,2.197914524404119e-61
148,GO:0003676,37,73,6.928412983931832e-61
26,GO:0045735,23,23,2.066478107342004e-60
9,"GO:0016758,GO:0008152",19,29,4.448698618638338e-58
65,"GO:0006468,GO:0004672",56,164,5.9169214475622696e-58
197,"GO:0055114,GO:0016491,GO:0008270",29,70,4.942832937621283e-56
50,"GO:0016021,GO:0016020,GO:0022857",17,21,1.925807507076778e-55
78,"GO:0050662,GO:0003824",19,20,9.917728087727509e-54
141,"GO:0019773,GO:0006511,GO:0004175,GO:0051603,GO:0005839,GO:0004298",20,57,2.4036252205116837e-53
146,GO:0046983,39,201,1.4090288041156654e-52
28,GO:0005525,24,31,5.641721314730324e-51
17,"GO:0006281,GO:0003678,GO:0000723",28,67,1.7528665329864083e-50
64,"GO:0006468,GO:0004672",35,54,2.4237661711938428e-49
11,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",25,25,1.0719091145285847e-48
80,"GO:0005515,GO:0006468,GO:0004672",25,83,2.6442143303742257e-48
25,GO:0045735,20,25,1.1224075930405985e-47
133,"GO:0016567,GO:0004842,GO:0005515",17,41,4.625486319396895e-47
141,"GO:0051603,GO:0005839,GO:0004298",17,57,2.4967563512448706e-46
215,None,162,163,2.629587675058581e-46
63,"GO:0055114,GO:0016491,GO:0005507",16,56,1.0276999563667924e-43
86,"GO:0006412,GO:0005840,GO:0003735",27,109,8.362054893228404e-41
21,GO:0005515,38,57,1.280664116978953e-40
3,None,136,136,1.4644649927530214e-40
145,GO:0046983,19,25,3.891520668457657e-40
86,"GO:0006412,GO:0005840,GO:0005622,GO:0003735",32,109,7.0384864116606495e-40
82,"GO:0006468,GO:0004672",34,84,1.9807082130781512e-38
