cluster,cluster_size,top_Pfam,top_count,purity
96,47,"PF00005,PF01061",23,0.48936170212765956
168,41,PF07714,20,0.4878048780487805
162,35,PF00400,17,0.4857142857142857
56,58,PF00931,28,0.4827586206896552
182,25,PF00173,12,0.48
169,21,PF07714,10,0.47619047619047616
29,26,PF14476,12,0.46153846153846156
173,35,PF07714,16,0.45714285714285713
196,56,PF13561,25,0.44642857142857145
62,26,PF00012,11,0.4230769230769231
133,41,"PF04564,PF00514",17,0.4146341463414634
90,39,PF00854,16,0.41025641025641024
105,22,"PF12143,PF12142,PF00264",9,0.4090909090909091
151,32,"PF00651,PF03000",13,0.40625
3,136,"PF01535,PF13041",55,0.40441176470588236
131,20,"PF00612,PF13178",8,0.4
102,20,"PF13371,PF00069",8,0.4
14,151,PF00646,60,0.3973509933774834
134,43,PF00004,17,0.3953488372093023
73,31,PF07690,12,0.3870967741935484
36,31,"PF08541,PF08392",12,0.3870967741935484
148,73,PF00076,27,0.3698630136986301
157,22,"PF04783,PF04782",8,0.36363636363636365
88,36,PF04674,13,0.3611111111111111
149,28,PF05057,10,0.35714285714285715
141,57,"PF10584,PF00227",20,0.3508771929824561
147,20,"PF02798,PF00043",7,0.35
204,23,PF04640,8,0.34782608695652173
61,23,PF00195,8,0.34782608695652173
58,90,"PF13962,PF12796",31,0.34444444444444444
115,32,"PF04043,PF01095",11,0.34375
5,97,"PF14226,PF03171",33,0.3402061855670103
110,56,PF03168,19,0.3392857142857143
167,59,"PF01419,PF07714",20,0.3389830508474576
69,87,PF00026,29,0.3333333333333333
231,24,PF00168,8,0.3333333333333333
218,21,PF00571,7,0.3333333333333333
205,27,"PF14389,PF04784",9,0.3333333333333333
130,31,PF00481,10,0.3225806451612903
150,72,PF00400,23,0.3194444444444444
84,38,PF00244,12,0.3157894736842105
41,131,PF02496,41,0.31297709923664124
116,48,PF01095,15,0.3125
138,26,"PF00249,PF14379",8,0.3076923076923077
23,64,"PF01535,PF13041",19,0.296875
197,70,"PF08240,PF00107",20,0.2857142857142857
92,46,PF04749,13,0.2826086956521739
40,41,"PF02183,PF00046",11,0.2682926829268293
118,23,PF13668,6,0.2608695652173913
153,31,"PF00107,PF08240",8,0.25806451612903225
77,31,PF02453,8,0.25806451612903225
65,164,PF07714,42,0.25609756097560976
17,67,"PF14214,PF05970",17,0.2537313432835821
108,24,PF03208,6,0.25
199,20,PF04576,5,0.25
107,32,PF14770,8,0.25
75,86,PF00361,21,0.2441860465116279
159,29,PF01217,7,0.2413793103448276
99,58,PF05078,14,0.2413793103448276
195,21,PF14299,5,0.23809523809523808
142,21,"PF00249,PF14379",5,0.23809523809523808
198,34,PF03759,8,0.23529411764705882
63,56,PF00403,13,0.23214285714285715
163,26,PF06200,6,0.23076923076923078
39,61,PF10551,14,0.22950819672131148
171,35,PF05217,8,0.22857142857142856
135,55,"PF13499,PF07714",12,0.21818181818181817
80,83,PF07714,18,0.21686746987951808
72,28,PF01246,6,0.21428571428571427
190,34,PF01764,7,0.20588235294117646
228,40,PF13561,8,0.2
146,201,PF00249,40,0.19900497512437812
181,36,PF13639,7,0.19444444444444445
38,31,PF03372,6,0.1935483870967742
249,52,PF01734,10,0.19230769230769232
152,21,PF12796,4,0.19047619047619047
156,37,PF07714,7,0.1891891891891892
122,106,PF07690,20,0.18867924528301888
155,27,PF03372,5,0.18518518518518517
76,55,PF05347,10,0.18181818181818182
136,61,PF00069,11,0.18032786885245902
252,34,PF01494,6,0.17647058823529413
200,102,PF00069,18,0.17647058823529413
74,59,PF08263,10,0.1694915254237288
109,24,PF04862,4,0.16666666666666666
226,24,"PF01852,PF07059",4,0.16666666666666666
125,30,PF00149,5,0.16666666666666666
127,43,PF05050,7,0.16279069767441862
184,68,PF12697,11,0.16176470588235295
172,75,PF01073,12,0.16
154,38,PF01842,6,0.15789473684210525
128,91,PF05637,14,0.15384615384615385
119,33,PF05648,5,0.15151515151515152
43,107,"PF01535,PF13041",16,0.14953271028037382
143,54,"PF00249,PF00072",8,0.14814814814814814
132,55,PF12937,8,0.14545454545454545
191,35,"PF01333,PF16639",5,0.14285714285714285
98,21,PF01529,3,0.14285714285714285
237,35,PF13012,5,0.14285714285714285
53,71,"PF05739,PF00804",10,0.14084507042253522
227,22,PF13867,3,0.13636363636363635
203,44,PF14570,6,0.13636363636363635
219,31,"PF00412,PF12315",4,0.12903225806451613
123,109,PF03169,14,0.12844036697247707
247,63,PF00171,8,0.12698412698412698
