umap1,umap2,cluster,protein
4.56751,-3.1647108,-1,Sphmag15G097500.1.p
2.0331664,-1.2723397,-1,Sphmag15G070700.1.p
2.067077,-0.39292473,120,Sphmag15G047900.1.p
4.772927,-1.6525782,-1,Sphmag15G089200.1.p
6.9094768,3.394284,-1,Sphmag15G086800.1.p
5.389421,-2.5644748,-1,Sphmag15G040500.1.p
6.569193,-0.27995712,230,Sphmag15G092200.1.p
9.794045,6.1999717,208,Sphmag15G045100.1.p
6.474842,3.6045208,-1,Sphmag15G102000.1.p
4.967155,3.5956502,163,Sphmag15G030800.1.p
-3.9238124,-1.7332246,22,Sphmag15G016000.1.p
10.1807165,-0.96214026,125,Sphmag15G059800.1.p
8.33243,-6.189667,137,Sphmag15G075100.1.p
6.7941847,-0.7502187,-1,Sphmag15G038200.1.p
4.91321,-5.301765,137,Sphmag15G038800.1.p
9.751114,5.2453027,233,Sphmag15G004900.1.p
2.4809432,-4.3840313,144,Sphmag15G010600.1.p
4.328539,1.045336,158,Sphmag15G008200.1.p
3.1674333,-3.4052606,196,Sphmag15G092700.1.p
5.0323277,-5.3601947,137,Sphmag15G030200.1.p
2.4137506,0.47321752,107,Sphmag15G098200.1.p
3.790775,2.5889392,79,Sphmag15G001100.1.p
2.1402783,0.11195161,-1,Sphmag15G077800.1.p
2.8860447,-3.9379282,197,Sphmag15G104600.1.p
6.808789,5.7999043,59,Sphmag15G071200.1.p
8.718307,-3.000165,76,Sphmag15G105700.1.p
-0.11915029,-4.2755694,62,Sphmag15G009300.1.p
5.7465796,-5.292708,137,Sphmag15G052200.1.p
4.627611,-4.338655,174,Sphmag15G069400.1.p
7.841689,-1.6930914,132,Sphmag15G067400.1.p
5.600067,0.83550996,-1,Sphmag15G078100.1.p
4.9458084,-4.177504,-1,Sphmag15G075000.1.p
3.6672437,4.360495,146,Sphmag15G032800.1.p
5.716228,5.530309,66,Sphmag15G003300.1.p
7.135045,3.9736385,215,Sphmag15G009600.1.p
6.4529324,1.8907987,192,Sphmag15G017900.1.p
7.7111545,-1.1596937,151,Sphmag15G101600.1.p
17.106071,-0.58803546,6,Sphmag15G015300.1.p
7.8178916,-2.0981448,133,Sphmag15G095100.1.p
13.407536,0.41007274,82,Sphmag15G004700.1.p
9.426841,0.58963907,121,Sphmag15G100900.1.p
1.5569308,-0.83064675,-1,Sphmag15G033700.1.p
